,model,accuracy
0,log_reg,0.7649771433154222
0,PassiveAgg,0.7274039618253269
0,Perceptron,0.7061111556660518
0,RidgeClass,0.7643756516160077
0,SGDClass,0.7571978506696607
0,log_reg,0.7649771433154222
0,PassiveAgg,0.7274039618253269
0,Perceptron,0.7061111556660518
0,RidgeClass,0.7643756516160077
0,SGDClass,0.7571978506696607
0,GaussianNB,0.7403560830860534
0,LinearSVC,0.7648969444221669
0,NuSVC,0.7637340604699655
0,SVC,0.7664608228406448
0,DecisionTreeClassifier,0.6909535648408052
0,ExtraTreeClassifier,0.6938006255513673
0,AdaBoostClassifier,0.7738792204667576
0,BaggingClassifier,0.761368193118935
0,ExtraTreesClassifier,0.7134092549522817
0,GradientBoostingClassifier,0.7752426016520972
0,RandomForestClassifier,0.7288475419039218
0,LGBMClassifier,0.7784505573823082
0,XGBClassifier,0.7773277728767343
